company_size,sector,country,website_visits,email,converted,email_domain
81,Healthcare,France,11,user@protonmail.com,1,protonmail.com
301,Education,USA,5,user@company.com,0,company.com
677,Education,Germany,28,user@protonmail.com,1,protonmail.com
735,Healthcare,UK,44,user@yahoo.com,1,yahoo.com
360,Healthcare,USA,46,user@company.com,1,company.com
630,Healthcare,Germany,40,user@gmail.com,1,gmail.com
77,Real Estate,India,25,user@company.com,1,company.com
526,Real Estate,India,10,user@gmail.com,0,gmail.com
147,E-commerce,India,50,user@yahoo.com,1,yahoo.com
36,Finance,USA,15,user@company.com,1,company.com
371,Healthcare,France,2,user@protonmail.com,0,protonmail.com
158,Real Estate,Spain,23,user@company.com,1,company.com
455,SaaS,France,8,user@protonmail.com,1,protonmail.com
376,Healthcare,Germany,41,user@company.com,1,company.com
256,SaaS,USA,47,user@outlook.com,1,outlook.com
512,E-commerce,Spain,35,user@gmail.com,1,gmail.com
269,Education,India,28,user@outlook.com,1,outlook.com
627,Education,India,31,user@outlook.com,1,outlook.com
126,Finance,Brazil,4,user@yahoo.com,0,yahoo.com
177,Real Estate,Spain,5,user@company.com,0,company.com
684,Education,India,4,user@protonmail.com,0,protonmail.com
556,Education,Germany,10,user@outlook.com,0,outlook.com
813,Education,France,14,user@gmail.com,1,gmail.com
206,Finance,UK,50,user@yahoo.com,1,yahoo.com
27,Education,France,36,user@company.com,0,company.com
479,E-commerce,UK,39,user@gmail.com,1,gmail.com
68,Education,Spain,45,user@yahoo.com,1,yahoo.com
